Ticker,Day 1 - High,Day 1 - Low,Day 2 - High,Day 2 - Low,Day 3 - High,Day 3 - Low,Day 4 - High,Day 4 - Low,Day 5 - High,Day 5 - Low,Day 6 - High,Day 6 - Low,Day 7 - High,Day 7 - Low,Day 8 - High,Day 8 - Low,Day 9 - High,Day 9 - Low,Day 10 - High,Day 10 - Low,Day 11 - High,Day 11 - Low,Day 12 - High,Day 12 - Low,Day 13 - High,Day 13 - Low,Day 14 - High,Day 14 - Low,Day 15 - High,Day 15 - Low,Day 16 - High,Day 16 - Low,Day 17 - High,Day 17 - Low,Day 18 - High,Day 18 - Low,Day 19 - High,Day 19 - Low,Day 20 - High,Day 20 - Low,Day 21 - High,Day 21 - Low,Day 22 - High,Day 22 - Low,Day 23 - High,Day 23 - Low,Day 24 - High,Day 24 - Low,Day 25 - High,Day 25 - Low,Day 26 - High,Day 26 - Low,Day 27 - High,Day 27 - Low,Day 28 - High,Day 28 - Low,Day 29 - High,Day 29 - Low,Day 30 - High,Day 30 - Low,Day 31 - High,Day 31 - Low,Day 32 - High,Day 32 - Low,Day 33 - High,Day 33 - Low,Day 34 - High,Day 34 - Low,Day 35 - High,Day 35 - Low,Day 36 - High,Day 36 - Low,Day 37 - High,Day 37 - Low,Day 38 - High,Day 38 - Low,Day 39 - High,Day 39 - Low,Day 40 - High,Day 40 - Low,Day 41 - High,Day 41 - Low,Day 42 - High,Day 42 - Low,Day 43 - High,Day 43 - Low,Day 44 - High,Day 44 - Low,Day 45 - High,Day 45 - Low,Day 46 - High,Day 46 - Low,Day 47 - High,Day 47 - Low,Day 48 - High,Day 48 - Low,Day 49 - High,Day 49 - Low,Day 50 - High,Day 50 - Low,Day 51 - High,Day 51 - Low,Day 52 - High,Day 52 - Low,Day 53 - High,Day 53 - Low,Day 54 - High,Day 54 - Low,Day 55 - High,Day 55 - Low,Day 56 - High,Day 56 - Low,Day 57 - High,Day 57 - Low,Day 58 - High,Day 58 - Low,Day 59 - High,Day 59 - Low,Day 60 - High,Day 60 - Low,Day 61 - High,Day 61 - Low,Day 62 - High,Day 62 - Low,Day 63 - High,Day 63 - Low,Percent Growth
MMM,104.43000030517578,101.4800033569336,104.45999908447266,101.97000122070312,104.44999694824219,103.22000122070312,105.4800033569336,103.37000274658203,104.55000305175781,101.5,102.93000030517578,100.76000213623047,101.33999633789062,100.16000366210938,102.27999877929688,100.5999984741211,102.83000183105469,101.30999755859375,103.23999786376953,101.9000015258789,103.91999816894531,102.52999877929688,105.19000244140625,103.01000213623047,105.83999633789062,104.18000030517578,104.9000015258789,102.06999969482422,102.7699966430664,101.68000030517578,102.80000305175781,101.5199966430664,103.12999725341797,101.05000305175781,104.77999877929688,103.30999755859375,105.1500015258789,103.69000244140625,106.44000244140625,104.08999633789062,107.12000274658203,105.01000213623047,107.0999984741211,105.94000244140625,107.30000305175781,105.87000274658203,106.33999633789062,105.45999908447266,105.58999633789062,104.11000061035156,105.12000274658203,104.05999755859375,105.30999755859375,104.36000061035156,107.30000305175781,104.16000366210938,105.19999694824219,102.7699966430664,105.38999938964844,103.08000183105469,106.41000366210938,105.1500015258789,106.83000183105469,105.55999755859375,105.69999694824219,102.66000366210938,104.5999984741211,102.66999816894531,102.9800033569336,100.76000213623047,103.4800033569336,102.05000305175781,103.93000030517578,101.6500015258789,101.75,100.4000015258789,101.69999694824219,99.5999984741211,101.0,99.80000305175781,101.2699966430664,99.2699966430664,100.83000183105469,99.2699966430664,100.04000091552734,98.0,100.30999755859375,98.0,99.83999633789062,98.05999755859375,100.47000122070312,98.66999816894531,102.04000091552734,98.31999969482422,102.83999633789062,100.66000366210938,100.69999694824219,96.97000122070312,97.20999908447266,95.3499984741211,97.44000244140625,96.37000274658203,97.19999694824219,95.19999694824219,95.7699966430664,93.19000244140625,94.58000183105469,92.37999725341797,104.55000305175781,96.04000091552734,102.48999786376953,97.91000366210938,99.62999725341797,97.29000091552734,101.16000366210938,97.5999984741211,101.3499984741211,99.58000183105469,101.58999633789062,98.19999694824219,102.44000244140625,100.20999908447266,103.13999938964844,100.83999633789062,103.66999816894531,101.16999816894531,-2.168699890687563
AOS,67.4800033569336,65.76000213623047,67.33000183105469,64.9800033569336,67.05000305175781,65.44999694824219,67.66999816894531,66.16999816894531,68.19999694824219,66.4800033569336,67.5,66.0199966430664,66.7699966430664,64.88999938964844,67.97000122070312,66.94000244140625,68.63999938964844,67.5999984741211,69.0999984741211,68.4800033569336,69.5,67.8499984741211,69.19999694824219,68.1500015258789,69.18000030517578,68.18000030517578,68.83999633789062,65.47000122070312,66.22000122070312,63.93000030517578,64.7699966430664,63.400001525878906,65.5,64.20999908447266,66.26000213623047,65.45999908447266,66.52999877929688,65.5999984741211,66.52999877929688,64.7300033569336,67.86000061035156,66.30000305175781,67.68000030517578,66.86000061035156,68.61000061035156,67.70999908447266,68.75,67.58999633789062,68.83000183105469,67.5,69.19000244140625,68.19000244140625,69.38999938964844,68.43000030517578,69.5,68.30000305175781,68.70999908447266,67.48999786376953,69.98999786376953,66.29000091552734,70.2300033569336,68.01000213623047,70.22000122070312,68.44999694824219,70.25,68.69000244140625,70.5199966430664,69.26000213623047,69.55999755859375,68.20999908447266,70.55999755859375,69.52999877929688,70.8499984741211,69.73999786376953,70.23999786376953,69.25,70.0199966430664,68.30000305175781,68.95999908447266,67.86000061035156,68.87000274658203,66.72000122070312,68.2699966430664,67.0999984741211,67.62000274658203,66.58999633789062,68.41999816894531,67.25,69.16000366210938,67.7300033569336,69.73999786376953,68.0,68.91000366210938,67.54000091552734,67.98999786376953,66.70999908447266,66.69000244140625,65.94999694824219,66.62000274658203,65.55000305175781,66.91000366210938,66.18000030517578,66.91000366210938,65.94000244140625,66.52999877929688,63.880001068115234,64.91999816894531,63.939998626708984,68.44000244140625,65.44000244140625,68.72000122070312,67.69999694824219,69.6500015258789,68.12000274658203,70.1500015258789,68.3499984741211,70.26000213623047,69.30000305175781,69.9000015258789,68.44999694824219,69.0999984741211,68.22000122070312,70.0199966430664,68.66999816894531,70.31999969482422,69.16000366210938,3.3546005858677166
ABT,99.27999877929688,97.0,99.19999694824219,96.51000213623047,98.19999694824219,97.18000030517578,98.41000366210938,97.29000091552734,99.30999755859375,96.83999633789062,97.80999755859375,96.44000244140625,98.08000183105469,96.80999755859375,99.4800033569336,98.2699966430664,98.23999786376953,96.61000061035156,98.73999786376953,97.25,99.4800033569336,98.51000213623047,101.41000366210938,99.7300033569336,101.66000366210938,100.04000091552734,103.33999633789062,101.83000183105469,104.29000091552734,102.5,105.55000305175781,104.18000030517578,104.91000366210938,103.05999755859375,104.69999694824219,103.0999984741211,103.83999633789062,102.30999755859375,103.70999908447266,101.80000305175781,104.3499984741211,103.45999908447266,104.8499984741211,104.0,105.69999694824219,103.93000030517578,112.69999694824219,108.1500015258789,112.29000091552734,110.0,112.12000274658203,110.87999725341797,111.75,110.13999938964844,110.52999877929688,109.66999816894531,109.41999816894531,108.2699966430664,109.54000091552734,107.66999816894531,110.8499984741211,109.37000274658203,111.56999969482422,109.93000030517578,111.94000244140625,110.43000030517578,112.94999694824219,111.43000030517578,111.48999786376953,110.55999755859375,111.75,111.05000305175781,111.58000183105469,110.29000091552734,111.02999877929688,109.29000091552734,110.97000122070312,109.62999725341797,110.47000122070312,109.26000213623047,110.55000305175781,109.4800033569336,110.9800033569336,109.54000091552734,110.45999908447266,109.26000213623047,109.9800033569336,107.97000122070312,108.83999633789062,107.87000274658203,109.9800033569336,108.4000015258789,109.31999969482422,108.06999969482422,107.4800033569336,105.5199966430664,105.6500015258789,103.98999786376953,103.52999877929688,101.33999633789062,103.44999694824219,102.02999877929688,102.5199966430664,101.56999969482422,102.2699966430664,100.37999725341797,102.9000015258789,100.91000366210938,104.5,102.8499984741211,105.01000213623047,103.33999633789062,104.04000091552734,102.22000122070312,102.48999786376953,101.25,101.37999725341797,100.56999969482422,101.9800033569336,100.54000091552734,101.91000366210938,100.79000091552734,102.06999969482422,100.94000244140625,104.1500015258789,102.81999969482422,4.261336234193062
ABBV,155.9199981689453,152.50999450683594,156.07000732421875,151.8800048828125,156.33999633789062,154.4600067138672,157.0500030517578,155.10000610351562,156.8800048828125,153.61000061035156,156.5,154.02000427246094,158.47999572753906,154.58999633789062,159.13999938964844,157.3800048828125,158.60000610351562,157.4499969482422,159.6999969482422,156.36000061035156,158.52999877929688,157.4199981689453,159.57000732421875,157.72999572753906,160.47000122070312,157.7899932861328,161.72999572753906,159.52999877929688,161.6699981689453,159.00999450683594,162.19000244140625,160.6199951171875,162.05999755859375,160.2100067138672,162.58999633789062,161.19000244140625,163.47999572753906,161.60000610351562,162.86000061035156,160.5500030517578,163.0,160.92999267578125,162.1999969482422,160.64999389648438,161.22999572753906,158.41000366210938,161.44000244140625,158.52000427246094,161.77000427246094,160.5800018310547,163.19000244140625,162.02000427246094,164.36000061035156,162.3300018310547,166.1999969482422,164.49000549316406,163.25999450683594,160.5,153.8699951171875,147.16000366210938,151.38999938964844,147.44000244140625,154.7100067138672,150.82000732421875,155.02000427246094,151.1999969482422,151.50999450683594,148.4499969482422,149.0,146.35000610351562,149.3800048828125,147.13999938964844,148.1999969482422,146.74000549316406,148.4600067138672,146.27000427246094,146.97999572753906,145.14999389648438,147.57000732421875,145.19000244140625,147.60000610351562,146.07000732421875,148.89999389648438,145.66000366210938,146.94000244140625,143.22999572753906,143.52000427246094,140.52000427246094,143.55999755859375,141.97999572753906,145.8000030517578,143.8000030517578,146.66000366210938,143.77999877929688,144.82000732421875,142.33999633789062,142.94000244140625,140.94000244140625,140.1999969482422,138.25999450683594,139.85000610351562,137.10000610351562,136.83999633789062,135.25,138.7100067138672,135.77000427246094,135.25999450683594,131.10000610351562,136.97000122070312,133.5,138.30999755859375,136.2899932861328,137.5399932861328,134.6300048828125,137.05999755859375,134.25999450683594,137.88999938964844,136.0,139.19000244140625,137.0800018310547,139.6699981689453,136.91000366210938,138.47000122070312,137.1999969482422,139.27000427246094,136.0800018310547,-12.279463586271257
ACN,253.8000030517578,243.52999877929688,255.72999572753906,248.4199981689453,253.88999938964844,250.00999450683594,258.5,253.94000244140625,261.32000732421875,253.02999877929688,274.6099853515625,259.29998779296875,272.0799865722656,264.82000732421875,274.3599853515625,270.6400146484375,276.1600036621094,272.6000061035156,280.260009765625,276.0,283.0400085449219,280.7799987792969,285.9599914550781,282.6099853515625,286.4599914550781,283.1600036621094,287.42999267578125,284.2200012207031,286.8999938964844,280.9100036621094,282.239990234375,278.8599853515625,281.7300109863281,276.3599853515625,287.6600036621094,282.54998779296875,288.6499938964844,282.94000244140625,285.4200134277344,279.7200012207031,284.95001220703125,277.7799987792969,281.82000732421875,278.7799987792969,281.4100036621094,278.4100036621094,280.0,277.510009765625,277.57000732421875,274.0,277.8299865722656,275.3999938964844,277.6199951171875,274.8599853515625,276.7099914550781,270.5899963378906,273.57000732421875,270.20001220703125,276.489990234375,270.8299865722656,280.42999267578125,273.7200012207031,279.9100036621094,277.45001220703125,280.3800048828125,274.0299987792969,279.5799865722656,274.82000732421875,273.7799987792969,265.67999267578125,270.3800048828125,264.3900146484375,267.0,263.4599914550781,264.489990234375,261.67999267578125,269.9100036621094,264.4200134277344,272.44000244140625,268.17999267578125,277.29998779296875,272.5,278.5299987792969,274.6199951171875,280.70001220703125,276.3599853515625,286.3699951171875,280.2300109863281,287.9200134277344,284.260009765625,291.3500061035156,287.3500061035156,291.7699890136719,288.8699951171875,291.0400085449219,287.1199951171875,288.2900085449219,284.8999938964844,293.1499938964844,285.17999267578125,308.6000061035156,293.6400146484375,318.9100036621094,305.0,310.3500061035156,303.0,306.0899963378906,300.0899963378906,312.20001220703125,306.6199951171875,307.3999938964844,301.8900146484375,309.30999755859375,301.760009765625,312.0,307.1600036621094,310.8699951171875,306.7099914550781,311.1700134277344,306.6400146484375,311.8500061035156,307.5400085449219,317.4700012207031,313.3900146484375,318.3599853515625,313.29998779296875,24.56507594252072
ATVI,80.4000015258789,78.83000183105469,80.27999877929688,78.77999877929688,79.48999786376953,77.5,80.01000213623047,79.44999694824219,79.98999786376953,78.62000274658203,80.19999694824219,79.25,85.72000122070312,83.31999969482422,84.93000030517578,84.08000183105469,84.75,84.04000091552734,84.5999984741211,84.1500015258789,85.0999984741211,84.62000274658203,85.73999786376953,84.69999694824219,85.66999816894531,84.45999908447266,85.56999969482422,85.01000213623047,85.87999725341797,84.91000366210938,85.6500015258789,85.18000030517578,85.5999984741211,84.95999908447266,85.68000030517578,84.98999786376953,85.5,84.87000274658203,85.79000091552734,85.26000213623047,85.63999938964844,85.05999755859375,85.52999877929688,84.62000274658203,85.86000061035156,85.33000183105469,85.75,85.4000015258789,86.12000274658203,85.48999786376953,85.94000244140625,85.44000244140625,86.25,85.08000183105469,87.01000213623047,85.55999755859375,79.7699966430664,76.5,77.86000061035156,76.81999969482422,77.88999938964844,76.94000244140625,77.83999633789062,77.29000091552734,77.0999984741211,75.51000213623047,76.18000030517578,75.13999938964844,74.93000030517578,73.61000061035156,76.02999877929688,74.80999755859375,76.05000305175781,75.44000244140625,75.55000305175781,74.9000015258789,76.6500015258789,75.5,77.2699966430664,76.05999755859375,78.18000030517578,76.5999984741211,78.81999969482422,77.11000061035156,78.04000091552734,77.1500015258789,78.19000244140625,77.3499984741211,78.3499984741211,77.5199966430664,78.77999877929688,78.11000061035156,79.3499984741211,78.58999633789062,79.51000213623047,78.73999786376953,79.38999938964844,77.7699966430664,77.58999633789062,76.76000213623047,78.79000091552734,77.0199966430664,80.2699966430664,78.88999938964844,80.80999755859375,79.68000030517578,81.22000122070312,80.0,80.62999725341797,79.83000183105469,81.1500015258789,80.5999984741211,81.05000305175781,80.45999908447266,80.94999694824219,79.52999877929688,80.76000213623047,79.87999725341797,80.69000244140625,79.95999908447266,80.4000015258789,79.69999694824219,81.44999694824219,79.87000274658203,81.7699966430664,80.94999694824219,1.7027677019953058
ADM,76.5199966430664,75.20999908447266,76.44000244140625,73.9800033569336,77.47000122070312,74.5,77.94000244140625,77.0,78.55000305175781,76.95999908447266,77.75,74.62999725341797,76.76000213623047,74.16999816894531,78.2699966430664,76.93000030517578,79.05000305175781,77.87999725341797,79.68000030517578,78.75,79.69999694824219,78.95999908447266,80.44999694824219,79.1500015258789,81.2300033569336,79.5999984741211,80.7699966430664,78.97000122070312,79.55999755859375,78.6500015258789,79.4800033569336,78.12999725341797,80.23999786376953,78.83000183105469,81.83999633789062,80.20999908447266,81.80000305175781,80.98999786376953,81.58999633789062,80.3499984741211,82.8499984741211,81.58000183105469,82.29000091552734,81.62999725341797,82.69999694824219,81.98999786376953,82.94999694824219,81.41000366210938,81.70999908447266,80.62999725341797,81.5199966430664,80.47000122070312,81.47000122070312,80.48999786376953,79.05000305175781,75.62000274658203,77.69000244140625,75.2699966430664,78.58999633789062,76.58000183105469,78.18000030517578,77.30000305175781,78.66000366210938,77.58000183105469,77.08999633789062,74.97000122070312,76.37999725341797,74.93000030517578,75.47000122070312,73.76000213623047,76.16999816894531,74.7300033569336,76.52999877929688,75.25,75.4000015258789,74.29000091552734,75.62000274658203,74.41000366210938,75.3499984741211,74.08000183105469,75.5,74.66000366210938,76.2300033569336,75.38999938964844,75.45999908447266,73.12999725341797,73.54000091552734,72.38999938964844,72.8499984741211,71.75,73.51000213623047,72.55000305175781,73.88999938964844,72.83999633789062,75.5199966430664,73.33000183105469,75.20999908447266,72.80999755859375,74.29000091552734,71.93000030517578,74.22000122070312,72.44999694824219,72.4800033569336,70.95999908447266,71.37999725341797,70.33999633789062,71.04000091552734,69.91999816894531,72.04000091552734,70.93000030517578,72.19000244140625,71.23999786376953,72.5,71.01000213623047,74.1500015258789,71.63999938964844,73.36000061035156,71.16999816894531,73.16000366210938,71.79000091552734,73.56999969482422,72.08000183105469,74.4800033569336,73.25,75.16999816894531,72.80999755859375,-4.341571389860757
ADBE,355.489990234375,340.5299987792969,360.6300048828125,350.8399963378906,364.94000244140625,355.3500061035156,376.3999938964844,362.9200134277344,377.3299865722656,361.5199890136719,375.25,365.489990234375,375.2300109863281,367.7200012207031,380.3500061035156,369.67999267578125,374.0,367.82000732421875,380.1199951171875,375.55999755859375,382.5799865722656,378.0799865722656,385.7300109863281,380.260009765625,383.7300109863281,378.1499938964844,385.70001220703125,381.04998779296875,386.0,377.260009765625,382.4599914550781,375.989990234375,376.6700134277344,372.260009765625,375.8999938964844,368.3500061035156,378.2300109863281,368.75,379.0199890136719,372.7300109863281,380.57000732421875,375.1400146484375,380.760009765625,374.6199951171875,380.8999938964844,374.489990234375,382.8399963378906,375.6000061035156,383.0,375.6700134277344,380.44000244140625,375.44000244140625,378.95001220703125,373.57000732421875,375.2300109863281,368.8800048828125,369.45001220703125,357.25,373.82000732421875,363.5,377.69000244140625,368.55999755859375,378.7200012207031,373.7099914550781,375.8500061035156,367.8399963378906,365.9599914550781,344.239990234375,348.0,332.8399963378906,349.54998779296875,338.0299987792969,350.4800109863281,340.760009765625,345.0,341.2300109863281,352.0,341.8299865722656,344.6600036621094,339.3699951171875,340.7900085449219,331.8900146484375,345.8900146484375,333.010009765625,347.07000732421875,341.1700134277344,358.69000244140625,345.1199951171875,361.4800109863281,356.45001220703125,372.0799865722656,361.3599853515625,374.3999938964844,369.6600036621094,376.489990234375,369.9200134277344,369.05999755859375,361.7200012207031,397.6499938964844,374.0899963378906,416.3599853515625,396.57000732421875,432.989990234375,416.0799865722656,421.3599853515625,410.70001220703125,430.6000061035156,412.2900085449219,438.5299987792969,430.3599853515625,440.3800048828125,426.9599914550781,437.1199951171875,431.239990234375,436.80999755859375,417.739990234375,440.6300048828125,423.5799865722656,466.5899963378906,453.0899963378906,478.0400085449219,459.4200134277344,491.510009765625,470.3599853515625,483.8500061035156,473.20001220703125,35.73268056866748
ADP,216.50999450683594,211.80999755859375,217.02999877929688,212.5800018310547,216.33999633789062,212.5800018310547,218.55999755859375,215.17999267578125,219.16000366210938,213.13999938964844,216.91000366210938,212.13999938964844,214.49000549316406,211.41000366210938,216.30999755859375,214.10000610351562,215.9199981689453,212.85000610351562,220.75,215.0,221.8000030517578,218.74000549316406,222.77000427246094,219.80999755859375,219.0500030517578,215.13999938964844,216.97000122070312,212.19000244140625,214.55999755859375,211.32000732421875,216.3699951171875,212.5800018310547,214.75999450683594,213.02000427246094,215.4600067138672,213.2899932861328,217.1999969482422,214.88999938964844,217.63999938964844,214.47999572753906,218.0,213.7899932861328,218.22999572753906,215.72999572753906,219.47000122070312,216.6199951171875,218.1199951171875,216.6699981689453,216.57000732421875,214.36000061035156,215.97999572753906,213.80999755859375,216.7899932861328,214.7899932861328,214.8800048828125,211.63999938964844,212.66000366210938,201.4600067138672,216.9600067138672,211.39999389648438,220.05999755859375,215.8000030517578,222.5500030517578,218.85000610351562,221.52999877929688,214.74000549316406,219.61000061035156,215.9600067138672,216.6699981689453,213.11000061035156,217.5500030517578,213.94000244140625,216.49000549316406,213.55999755859375,214.25999450683594,212.14999389648438,215.97999572753906,212.05999755859375,214.52000427246094,209.13999938964844,212.9499969482422,210.75,214.57000732421875,212.0,213.8699951171875,211.88999938964844,214.99000549316406,212.3699951171875,215.7899932861328,213.00999450683594,217.5399932861328,215.25999450683594,217.39999389648438,215.2100067138672,216.5,215.0399932861328,215.99000549316406,213.91000366210938,212.10000610351562,208.80999755859375,212.9600067138672,209.9199981689453,213.0,207.72000122070312,210.50999450683594,206.1699981689453,212.1699981689453,208.66000366210938,216.94000244140625,211.41000366210938,217.27000427246094,215.61000061035156,217.9600067138672,215.22999572753906,216.6300048828125,214.72000122070312,215.6999969482422,213.47999572753906,215.67999267578125,213.47999572753906,218.60000610351562,214.47999572753906,220.61000061035156,218.5399932861328,222.14999389648438,215.3000030517578,0.13438057554765653
AAP,122.87000274658203,119.9000015258789,122.01000213623047,117.88999938964844,120.75,117.68000030517578,120.81999969482422,119.13999938964844,119.91999816894531,113.56999969482422,114.22000122070312,110.30000305175781,111.19999694824219,109.05000305175781,115.79000091552734,111.94999694824219,116.6500015258789,114.62999725341797,117.56999969482422,114.76000213623047,119.58999633789062,118.12000274658203,121.73999786376953,119.6500015258789,123.36000061035156,121.4800033569336,123.23999786376953,119.23999786376953,121.55999755859375,119.58000183105469,121.0,119.7699966430664,121.54000091552734,119.93000030517578,123.26000213623047,120.51000213623047,123.37999725341797,120.23999786376953,124.16000366210938,119.1500015258789,124.83999633789062,122.44999694824219,127.0,123.7699966430664,128.69000244140625,126.61000061035156,128.67999267578125,126.22000122070312,129.22000122070312,127.5,129.89999389648438,127.87000274658203,128.0,125.91000366210938,126.91999816894531,123.75,124.41000366210938,121.70999908447266,125.06999969482422,121.80000305175781,126.0999984741211,124.29000091552734,126.51000213623047,125.19000244140625,125.77999877929688,121.68000030517578,126.27999877929688,123.79000091552734,123.68000030517578,120.22000122070312,123.95999908447266,121.97000122070312,125.91000366210938,122.8499984741211,126.58000183105469,124.05000305175781,127.30999755859375,124.5999984741211,125.41999816894531,123.30999755859375,124.70999908447266,121.62000274658203,122.7300033569336,120.5,120.77999877929688,117.31999969482422,122.7300033569336,117.6500015258789,122.11000061035156,119.29000091552734,121.2300033569336,117.08999633789062,119.87000274658203,117.69999694824219,118.98999786376953,115.7699966430664,117.51000213623047,114.95999908447266,114.56999969482422,111.3499984741211,112.19999694824219,109.76000213623047,112.56999969482422,110.25,80.80999755859375,72.5999984741211,71.95999908447266,67.80000305175781,68.9800033569336,66.2699966430664,68.4000015258789,65.55999755859375,67.19999694824219,65.19000244140625,66.69000244140625,65.3499984741211,66.22000122070312,64.73999786376953,64.87999725341797,63.560001373291016,67.91999816894531,64.19999694824219,70.47000122070312,66.6500015258789,70.94000244140625,69.04000091552734,-42.47316426249769
